"","business_id","Indian","Juice Bars & Smoothies","Noodles","Salad","Seafood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.RestaurantsPriceRange2","attributes.WheelchairAccessible","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.GoodForKids","African","American","Arabian","Asian","Bar","Breakfast","British","Central_America","Coffee_Shop","Dessert","Dietary_Restriction","European","Lunch","Mediterranean","Pacific","Pub","Russian","South_American","name","Parking"
"1","--g-a85VwrdZJNf0R95GcQ",0,1,0,0,0,"3510 E Bell Rd, Ste 3","Phoenix","AZ","85032",33.6412984,-112.0063922,4.5,24,0,1,NA,TRUE,FALSE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Kabab House",TRUE
"2","-_hk47bgWLbX0SfvBUkoPQ",0,0,0,1,0,"10005 N Metro Pkwy","Phoenix","AZ","85051",33.5764166,-112.1180035,3,62,1,1,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Souper Salad",TRUE
"3","-050d_XIor1NpCuWkbIVaQ",0,0,0,0,0,"801 N 1st St","Phoenix","AZ","85004",33.4566960574,-112.072327137,4,700,0,1,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matt's Big Breakfast",TRUE
"4","-0aIra_B6iALlfqAriBSYA",0,0,0,0,0,"5415 E High St, Ste 103","Phoenix","AZ","85054",33.6754894,-111.9649133,5,22,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tea2go",TRUE
"5","-0tgMGl7D9B10YjSN2ujLA",0,0,0,0,0,"3841 E Thunderbird Rd, Ste 111","Phoenix","AZ","85032",33.6111282077,-111.998512848,3.5,112,1,2,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Dubliner",TRUE
"6","-0WegMt6Cy966qlDKhu6jA",0,0,0,0,0,"201 S 4th St","Phoenix","AZ","85034",33.4455954039,-112.068469534,2,74,1,2,NA,TRUE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Game Seven Grill",TRUE
"7","-1UMR00eXtwaeh59pEiDjA",0,0,0,0,0,"3800 E Sky Harbor Blvd, Terminal 4, Gate B5","Phoenix","AZ","85034",33.4369339893,-111.996636399,3.5,279,1,2,NA,TRUE,FALSE,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Matt's Big Breakfast",FALSE
"8","-2isRNVb6PDuBagELL5EBw",0,0,0,0,0,"3507 W. Peoria Ave.","Phoenix","AZ","85029",33.5817130927,-112.135900766,3,16,1,1,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taco Bell",FALSE
"9","-8JaNeG3etLgOVyg2gOIiA",0,0,0,0,0,"4231 E Indian School Rd","Phoenix","AZ","85018",33.4946209,-111.98983,4,61,0,2,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"La Fontanella Restaurant",TRUE
"10","-9eNGMp8XiygI8t8QFuFWw",0,0,0,0,0,"3626 E Ray Rd","Phoenix","AZ","85044",33.316214,-112.004239,3.5,244,1,3,TRUE,TRUE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"The Melting Pot",TRUE
