"","restaurant_No","restaurant","city","state","latitude","longitude","name","restaurant_id"
"1",1,"-050d_XIor1NpCuWkbIVaQ","Phoenix","AZ",33.4566960574,-112.072327137,"Matt's Big Breakfast","R1"
"2",2,"-FveSBaantlFExq__ESLcw","Phoenix","AZ",33.305766,-111.979651,"Grill Wrap Cafe","R2"
"3",3,"_7hhpjQHxjPi0gNzzMmO6g","Phoenix","AZ",33.3936908,-112.0732157,"New Sun Star Super Buffet","R3"
"4",4,"_HVZ1V8IDa49MWdejx9BbA","Phoenix","AZ",33.4352284,-111.9978273,"America's Taco Shop","R4"
"5",5,"_mqUzNXs_sJ1EJYgYZYszg","Phoenix","AZ",33.454328,-111.9866783,"The Lunch Lounge","R5"
"6",6,"_WvEXsx2eZ53lTWHlIx9kg","Phoenix","AZ",33.4475192982,-112.073643756,"Blue Hound Kitchen & Cocktails","R6"
"7",7,"0_Yc6blfiI9A6Q8bKjYLSQ","Phoenix","AZ",33.61106,-112.111991,"Taco Bell","R7"
"8",8,"06PiQOUehVOYtDcZRWrA5A","Phoenix","AZ",33.6264315,-112.1324671,"Little Caesars","R8"
"9",9,"0CZ4opKkec9yAS8qmXoWdA","Phoenix","AZ",33.6986712,-112.1013815,"Ric's Smokehouse BBQ & Grill","R9"
"10",10,"0HwrX6P6lh92F0f-A_QzjA","Phoenix","AZ",33.5095991,-112.0260037,"Sam's Cafe","R10"
"11",11,"1LM9PRDlmBpIgBKdAAWIZA","Phoenix","AZ",33.4493297,-112.0739934,"Coney Island Grill","R11"
"12",12,"1mkDrJRu3VABKy95gxD-Hg","Phoenix","AZ",33.446778,-112.056714,"Charlie D's Catfish & Chicken","R12"
"13",13,"1muT5zEqoC4qp9ms08qJtQ","Phoenix","AZ",33.4955396858,-112.00297774,"Gino's East","R13"
"14",14,"2FfZUyA82YhQCjWNiqDCzQ","Phoenix","AZ",33.4797818,-112.0732757,"Lenny's Burger Shop","R14"
"15",15,"3aJqrnY4u86F5-Fn_vAy-g","Phoenix","AZ",33.6402724,-112.0328431,"Il Primo Pizza & Wings","R15"
"16",16,"3nzK3K-Dfo1L6mpB8FTKkw","Phoenix","AZ",33.4372559578,-112.001878862,"Pei Wei Asian Diner","R16"
"17",17,"3qrotwyf69IpNqwsZN8U7A","Phoenix","AZ",33.582793,-112.114918,"Spice Restaurant","R17"
"18",18,"3xI0ToitrAJkrUSH4gbmCA","Phoenix","AZ",33.3474993684,-111.981221407,"Subway","R18"
"19",19,"3ZS3n0RNlm-DB0Ue8yf43Q","Phoenix","AZ",33.4736978,-111.9862622,"Sunshine and Spice","R19"
"20",20,"45F5VaVlvrrtFikPa2v-tQ","Phoenix","AZ",33.5737522,-112.124477,"Dairy Queen","R20"
"21",21,"46F4FywjDlqMiHG57NF7eg","Phoenix","AZ",33.305824,-111.991311,"Secreto","R21"
"22",22,"47JJtwt6vhyYa5Z-mAFv7A","Phoenix","AZ",33.4713,-112.064761,"Urban Vine","R22"
"23",23,"4rwjCzSygI6batiXRGctrg","Phoenix","AZ",33.4487371,-112.030658,"Carl's Jr","R23"
"24",24,"5o6qOFzZ4NrJ6bJ39ohCtA","Phoenix","AZ",33.683323,-112.092428,"NY Bagels and Deli","R24"
"25",25,"5WtKBzHv1mL2-w1wcz3kpw","Phoenix","AZ",33.6711382,-112.0315471,"Federicos Mexican Food","R25"
"26",26,"6ATqm_JXesXAdKKjeuQj7w","Phoenix","AZ",33.4800535,-111.9620391,"El Farol Peruvian Cuisine","R26"
"27",27,"6fkEgOHqRh9mdFbPKJqz_w","Phoenix","AZ",33.5090513,-112.1372397,"Mayan Mexican Grill","R27"
"28",28,"6MhY_9EkUkKCvvN8rzXZzg","Phoenix","AZ",33.466043,-112.05026,"Gourmet House Of Hong Kong","R28"
